,0,0
review,254,178
mention,202,127
bayreuth,1,2
record,48,59
knappertsbusch,1,0
tempi,1,0
often,142,189
altogeth,10,16
lack,217,115
sens,264,219
puls,5,7
ebb,1,0
flow,14,28
half,269,122
centuri,44,75
orchestr,10,5
set,372,438
modern,71,116
still,435,640
superior,24,51
superbl,0,15
trashi,8,10
wondrous,0,1
unpretenti,0,6
exploit,54,49
hooray,1,5
credit,164,111
somewhat,87,102
fals,25,21
deal,110,174
seriou,97,97
harrow,7,6
drama,104,216
need,369,323
fear,51,78
bare,76,44
ten,97,78
later,176,244
neck,23,17
nonsens,55,19
chainsaw,9,6
battl,67,112
rough,20,29
fist,23,8
lurid,1,5
dialog,100,66
gratuit,28,21
nuditi,89,48
bo,19,12
ingrid,5,12
two,660,749
orphan,3,11
sibl,9,22
unusu,24,56
even,1576,1020
slightli,47,61
pervert,12,5
relationship,84,193
imagin,173,150
rip,71,42
towel,0,2
cover,88,96
sister,107,135
nake,53,35
bodi,152,110
stare,23,21
unshaven,1,1
genit,7,3
sever,160,175
judg,51,49
dub,59,38
laughter,29,24
sick,55,53
dude,40,12
fled,2,4
russia,8,14
parent,81,106
nasti,43,47
soldier,50,90
brutal,50,54
slaughter,21,16
mommi,3,3
daddi,17,5
friendli,11,23
smuggler,0,4
took,116,128
custodi,2,4
train,68,82
expert,20,22
plot,858,517
lift,29,17
ultim,57,80
quest,18,33
mythic,6,6
incred,106,145
valuabl,9,11
white,136,178
fire,87,87
diamond,16,8
coincident,4,1
mine,24,61
life,487,850
littl,603,646
narr,41,52
structur,29,24
sure,341,279
fun,189,345
time,1518,1762
clue,47,23
beat,55,78
caus,104,105
bet,29,20
understood,12,16
less,224,172
whatev,110,44
violenc,105,86
magnific,11,56
grotesqu,11,10
singl,104,91
twist,105,119
pleasingli,0,3
retard,30,7
script,478,240
bonker,0,2
repair,5,6
suddenli,55,42
reveal,53,88
reason,427,252
replac,46,29
fred,25,24
williamson,5,1
big,319,383
cigar,3,1
mouth,68,28
sleazi,19,19
black,204,235
finger,21,16
local,100,118
prostitut,22,23
princip,9,19
oppon,3,17
italian,50,68
chick,42,17
breast,28,11
hideou,21,5
accent,96,65
preposter,12,4
catchi,12,8
theme,120,154
least,406,206
dozen,38,23
throughout,104,156
obligatori,10,8
fall,188,201
love,622,1230
montag,16,14
load,36,24
attract,65,66
god,143,82
brilliant,59,177
experi,170,191
french,58,123
translat,29,29
surviv,62,80
uniqu,36,101
rest,231,149
none,144,70
dont,7,6
got,384,354
pretti,433,318
action,348,410
chang,198,230
locat,53,80
harri,47,62
hurt,61,52
offens,58,8
eastwood,8,9
form,73,115
dirti,27,33
pat,30,13
hingl,0,1
town,121,145
cop,116,96
pool,19,13
could,974,649
short,177,190
cheesi,76,47
act,1051,687
past,108,173
background,64,89
around,361,325
evil,151,137
druid,5,0
witch,48,40
link,21,13
woman,304,300
migrain,3,0
drag,60,43
clearli,88,84
explain,138,85
keep,232,276
plod,19,4
christoph,28,46
walken,7,8
complet,392,230
senseless,20,4
potenti,89,55
tv,294,274
avoid,146,62
video,246,150
friend,282,373
hous,255,250
glad,33,43
wast,385,35
money,337,189
buy,89,108
capricorn,1,0
clip,23,31
rocket,24,17
blow,50,39
up,29,33
relat,67,100
flight,28,16
sibrel,4,0
smoke,32,23
gun,93,73
astronaut,14,7
prepar,39,40
broadcast,15,20
edit,147,99
instead,298,134
us,349,417
crew,64,59
curious,7,9
end,1006,975
show,926,1095
zaprud,1,0
claim,80,55
radiat,10,6
shield,5,3
photographi,36,46
lead,262,296
believ,419,388
ignor,50,60
ax,9,0
grind,10,0
nasa,9,0
american,251,363
scienc,58,62
bought,40,42
grossli,10,4
overpr,2,1
despit,150,144
name,333,275
adam,38,33
sandler,12,22
billi,50,32
bob,28,30
thornton,10,1
burt,22,6
young,259,494
funni,441,375
chisel,2,0
hammer,14,13
straight,82,83
earhol,1,0
tire,50,42
comed,26,40
techniqu,23,43
consist,67,42
break,96,119
fourth,13,22
talk,280,189
audienc,306,261
seemingli,41,40
pointless,94,14
hot,89,77
waiter,2,5
ship,66,40
success,120,180
comedian,26,29
order,118,122
women,188,207
resid,24,26
shamelessli,7,2
dicki,3,1
due,91,94
unfathom,4,4
opposit,25,35
gender,9,18
presum,27,10
lost,160,162
sea,27,22
shecker,1,0
rather,310,255
lock,38,42
bathroom,7,18
perhap,171,158
vomit,11,3
worst,508,49
refer,92,79
mad,75,67
max,14,21
ii,42,31
wild,39,45
ladybug,0,1
clear,85,87
tribut,18,18
peter,77,134
lorr,0,9
masterpiec,32,92
futur,69,116
happen,362,346
armi,42,49
wetback,1,0
towelhead,1,0
godless,1,0
eastern,11,7
european,41,44
commi,1,7
gather,14,20
forc,165,155
south,26,51
border,23,23
gari,24,30
busey,10,6
kick,63,57
butt,24,17
laughabl,92,14
exampl,171,126
reagan,14,2
era,59,99
fallout,1,5
bulletproof,3,0
decent,157,69
support,125,209
cast,417,490
head,266,182
l,35,44
q,17,17
jone,56,34
thalmu,1,0
rasulala,1,0
although,218,294
remak,86,52
far,319,282
comment,198,157
opinion,92,101
pure,79,94
comparison,35,33
written,161,158
capot,2,9
word,192,159
anthoni,20,30
edward,13,34
eric,19,47
superb,28,108
case,197,143
alway,241,424
wonder,296,457
number,130,138
famou,75,118
brother,140,226
certainti,0,4
top,157,221
profess,10,9
recommend,163,320
dvd,223,261
shelv,6,4
harvey,22,8
light,154,188
candl,3,10
anchor,9,5
spall,1,4
titular,5,9
moros,3,2
tight,9,31
teacher,40,30
catharsi,0,3
deep,38,78
emot,100,240
unveil,2,4
surpris,141,242
rang,32,34
convey,28,45
move,202,318
portray,137,274
mike,40,25
leigh,12,7
repertori,0,2
expect,286,266
school,187,162
bu,23,16
trip,42,61
comic,129,159
purpos,52,52
simpson,11,9
central,33,56
situat,102,142
visit,33,76
salisburi,0,1
cathedr,1,3
rhidian,0,1
brook,22,22
contain,61,76
dramat,70,104
almost,314,323
formal,1,4
divid,10,14
introduc,47,52
urban,14,31
british,62,102
racial,16,11
religi,23,31
divers,9,21
uniform,7,10
tell,304,347
privat,35,39
public,80,59
rap,12,23
asian,38,12
muslim,23,21
bulli,15,12
mean,326,250
individu,30,66
recogn,24,46
shameless,5,4
exuber,1,6
junior,13,13
social,48,74
pressur,15,11
celia,5,1
imri,0,1
warmth,4,14
supervisor,2,1
role,330,540
martinet,0,1
transform,25,34
crisi,8,24
remain,74,107
amusingli,1,2
oblivi,6,5
ben,66,76
mile,55,46
coupl,198,181
spoon,7,6
fed,9,10
didact,0,1
lesson,38,44
toler,30,14
bbc,10,24
england,21,46
easter,3,3
america,69,106
u,36,83
christma,38,63
nathali,0,1
summer,33,59
key,39,60
redempt,4,12
week,64,84
preach,9,11
touch,78,171
reach,54,58
unexpect,12,27
unfortun,223,104
saw,289,348
intens,42,104
interrupt,7,13
commerci,54,34
heavi,58,47
hand,249,211
pointedli,0,1
road,47,47
pilgrimag,0,6
quiet,13,47
best,431,854
evoc,1,7
men,181,239
holiday,20,24
submerg,2,3
right,401,371
champagn,1,0
product,271,190
repeatedli,17,11
stranger,19,29
noth,615,249
grade,71,34
amateurish,38,8
b,155,105
c,65,76
enough,399,277
hire,37,40
cameramen,3,2
ok,124,42
design,81,69
poster,18,19
said,261,204
problem,245,183
post,63,55
sg,4,9
flick,231,119
rent,152,72
email,1,9
ask,169,133
forgiv,33,24
miss,191,238
kelli,14,55
lebrock,2,0
jimbo,1,0
note,99,119
litman,1,0
mysteri,127,157
theater,131,98
riff,5,10
breeder,4,0
favorit,59,225
simpli,199,165
absurd,41,25
mst,30,1
k,54,15
bill,90,70
playwright,4,15
disown,3,3
club,50,41
hamlet,20,14
stephen,33,40
king,85,128
adapt,86,81
famili,240,460
newcom,11,12
rural,7,15
main,246,225
pet,13,26
cemeteri,6,5
home,185,242
father,166,318
dale,3,3
midkiff,2,1
micmac,1,0
burial,5,8
ground,42,31
buri,22,8
back,476,507
horror,453,313
clumsi,17,4
insult,72,8
inept,32,5
absolut,216,148
worthless,13,2
genuin,28,68
disturb,57,62
point,480,345
dismiss,7,13
someth,573,454
memor,49,99
gwynn,1,2
wise,34,59
old,481,521
age,137,259
neighbor,17,38
brad,6,23
greenquist,1,0
disfigur,3,4
spirit,55,104
victor,50,31
pascow,1,0
redeem,81,19
cameo,43,50
minist,7,5
sequel,129,64
mari,58,122
lambert,5,3
mainstream,22,23
sinc,294,297
matrix,22,20
blockbust,28,18
fantast,34,147
provok,14,25
twilight,5,8
zone,13,17
ish,10,9
manner,49,72
rule,34,64
appli,14,25
predecessor,11,9
wors,253,43
compar,92,108
reload,4,1
explod,20,12
onto,40,32
screen,274,297
un,15,16
profession,35,48
second,263,208
first,866,929
triniti,4,0
shot,355,253
dream,85,163
immedi,47,53
nose,37,18
dive,9,9
disastr,7,8
gradual,3,18
gain,24,32
momentum,7,6
smith,21,77
place,293,309
lose,52,100
chase,108,68
groan,15,3
worthi,37,22
overlong,8,3
zion,1,0
rave,25,7
pathet,79,12
excus,72,13
porn,50,21
depress,52,60
bullet,32,20
aspect,90,100
overus,7,4
interest,520,459
linear,7,5
basic,153,113
seri,263,357
stylish,12,20
prevent,28,16
empti,42,22
incorrect,11,2
principl,8,15
franchis,20,7
quickli,55,67
descend,15,11
drench,3,2
misfir,10,4
saga,5,10
poor,348,72
hugo,5,6
weav,2,9
keanu,4,1
reev,12,20
definit,137,244
neo,14,14
room,106,108
impact,17,67
academi,17,36
award,36,114
nomine,2,8
laurenc,5,13
fishburn,2,10
reduc,20,14
monoton,16,3
mentor,5,5
dialogu,180,143
carri,90,100
ann,48,49
moss,5,8
done,292,336
actress,169,163
thrown,45,30
togeth,182,235
disappoint,267,116
unlik,88,95
flock,3,4
die,232,217
sub,53,31
genr,100,163
bonanza,4,9
minor,49,51
report,50,41
imdb,91,46
ulli,2,0
lommel,3,0
boogey,6,0
low,238,115
budget,225,152
chiller,4,6
worth,221,254
taken,94,97
serious,135,55
left,248,200
day,376,483
brows,3,3
store,68,57
mall,15,1
across,119,96
entitl,9,2
return,95,103
earlier,61,80
happi,80,157
shell,12,3
buck,35,25
known,98,127
pro,23,24
ha,33,19
laugh,301,233
hunk,10,2
cow,8,4
dung,9,0
footag,89,57
um,9,4
merci,18,6
yeah,66,21
con,18,45
decis,28,52
next,174,207
scari,107,86
stiff,17,11
whatsoev,65,13
probabl,285,286
nonexist,8,1
shoddili,2,0
plain,84,34
aw,345,36
artsi,11,4
fartsi,2,0
camera,216,151
flicker,3,4
filter,8,3
dull,157,22
hear,93,105
tie,39,35
botch,7,4
suzanna,1,1
lacey,2,1
natali,7,15
event,119,143
depict,54,92
new,356,470
asham,33,4
suck,123,29
suppos,289,104
damn,62,37
doubt,99,88
forget,83,73
handl,64,55
among,67,82
indian,29,67
fade,18,25
passag,9,6
spell,25,25
bind,1,6
appeal,88,88
diminish,6,10
abyss,3,2
artifici,5,9
style,146,189
pop,61,61
drill,10,7
orient,14,18
extra,51,63
enhanc,12,27
p,32,38
cinematographi,86,122
speak,117,93
excel,92,400
skill,40,52
josef,0,1
werch,0,1
accentu,1,6
monument,3,7
scope,5,18
entireti,5,6
gone,62,65
retak,0,2
meticul,2,6
paid,48,21
craft,19,40
poignant,4,25
sublim,4,13
instanc,51,40
meena,0,8
kumari,0,8
refus,26,46
ye,155,142
approv,8,7
nikah,0,1
marriag,20,55
bond,22,83
climb,14,13
hill,55,36
berserk,1,2
traumat,11,11
frenzi,7,8
raj,17,23
kumar,7,17
strong,85,177
gale,7,2
wind,36,42
blew,10,11
veil,6,2
leg,30,27
kamal,10,5
amrohi,0,4
shall,12,9
golden,9,47
annal,1,2
histori,98,174
endeavor,6,8
vital,7,11
ladi,109,111
termin,11,9
earli,138,190
understand,188,227
loss,33,34
loneli,1,21
cheadl,0,13
johnson,12,19
reflect,11,51
fineman,0,10
felt,159,146
trap,26,31
bless,10,15
perspect,21,42
jada,1,3
pull,93,105
tear,33,83
oscar,58,151
fine,94,178
assur,14,12
jerri,30,33
soylent,0,5
green,35,71
fiction,43,85
persuas,4,9
today,71,197
flaw,59,78
date,70,90
apocalypt,3,8
environment,2,2
premis,98,55
typic,87,93
unsettl,5,11
qualiti,183,140
surpass,4,8
contemporari,16,43
sf,4,9
person,340,381
consid,173,147
york,56,90
aliv,47,39
popul,24,26
unemploy,10,10
unhealthi,2,1
climat,4,15
scarciti,0,2
avail,33,63
synthet,0,1
distribut,17,15
compani,55,74
charlton,4,4
heston,15,9
shape,23,32
investig,47,49
murder,174,180
emin,5,7
execut,76,55
stumbl,25,24
upon,76,95
scandal,4,11
dark,139,219
sentiment,26,47
climax,43,49
atmospher,65,133
tens,6,23
uncanni,3,7
riot,9,18
gruel,2,2
easili,79,101
macabr,4,12
last,323,332
modest,8,6
joseph,12,38
cotton,3,4
baron,2,5
abomin,15,2
dr,71,69
phibe,1,2
nightmarish,2,5
inevit,11,19
fanci,13,16
space,67,77
hairi,7,3
monster,126,72
stearn,0,1
sexual,125,134
frustrat,30,32
moral,63,70
attitud,29,45
ogl,0,2
dancer,19,38
sex,211,139
beauti,171,466
stroll,5,5
lovemak,0,5
distanc,16,15
shoot,132,95
rifl,5,17
primari,13,14
exist,125,101
indulg,31,14
activ,24,35
afterthought,6,3
happili,12,8
heterosexu,2,4
male,86,78
pleas,152,90
treat,60,91
protract,3,2
san,20,21
cloth,62,52
serv,56,51
titil,10,3
fair,83,42
creepi,55,80
factor,26,26
consider,22,37
illustr,16,15
compuls,3,4
voyeur,8,2
eye,210,256
trigger,7,4
underscor,2,10
intrus,6,5
soundtrack,68,89
penchant,3,2
trash,69,29
degre,30,23
includ,182,253
lesbian,49,12
tryst,0,2
confound,1,2
render,18,16
uncertain,4,3
pace,88,148
wrap,18,26
amus,77,66
kinki,8,4
rariti,1,6
els,254,183
viewer,177,219
glu,4,8
luck,21,34
militari,57,32
swashbuckl,0,10
loos,65,33
rudyard,0,2
kipl,0,4
poem,6,12
three,251,232
qualifi,12,10
imperi,0,5
india,22,22
cari,7,19
grant,33,68
knock,34,36
knuckl,2,7
faraway,0,1
six,35,47
yarn,2,5
dwell,5,12
rug,3,9
sergeant,5,10
nativ,18,33
water,76,77
bearer,0,5
gunga,0,10
din,0,13
sam,65,52
jaff,1,8
contend,3,12
bloodthirsti,4,1
cult,54,47
thugge,0,4
archibald,0,2
cutter,2,4
outpost,1,1
macchesney,0,3
winner,19,44
mclaglen,1,6
inform,43,62
ballantin,0,3
dougla,22,56
fairbank,0,10
jr,20,37
dawn,18,18
patrol,1,6
competit,19,23
trio,12,15
drink,64,31
brawl,3,8
alpha,3,1
whose,83,130
frolic,2,1
marri,63,114
emmi,2,9
stebbin,0,1
joan,13,62
fontain,1,28
tea,11,14
busi,71,104
drum,11,14
assort,3,5
scheme,13,21
derail,6,4
ballentin,0,1
sgt,3,6
berti,2,1
higginbotham,0,2
coot,2,4
sheik,2,1
step,36,79
cannot,128,96
accompani,12,26
outwit,4,1
celebr,34,47
adventur,65,109
grand,19,46
hero,132,138
tangl,0,7
lenser,0,1
august,4,7
receiv,45,65
nomin,20,54
outstand,12,62
hour,259,166
steve,47,39
construct,29,21
wait,134,139
ball,42,41
recent,85,135
cough,3,4
dog,103,94
mostli,100,95
lame,126,17
fx,18,10
zeta,8,1
fanat,8,12
credibl,32,27
bink,2,1
quo,1,2
vadi,0,2
wow,44,36
amaz,75,213
ken,9,26
russel,14,21
quirki,10,29
styliz,5,14
artist,77,111
nero,0,3
present,143,208
incarn,7,6
wacki,16,7
unfulfil,2,1
emperor,3,8
circu,9,5
career,109,130
posit,120,95
empir,5,10
long,351,353
klaus,0,1
maria,10,47
bandaur,0,1
tremend,5,32
persecut,2,5
christian,85,53
vengeanc,2,12
henchmen,4,3
murmur,1,1
protect,15,44
everywher,26,16
son,138,182
genet,13,3
scarier,6,2
paul,70,137
frighten,25,44
hammerhead,4,4
shark,41,9
dagger,8,3
sharp,22,32
teeth,19,17
abil,75,59
ambush,3,3
dri,34,21
land,55,57
thor,2,0
rock,95,151
tiburon,1,0
eat,72,59
sit,145,86
shred,13,3
entir,236,168
silli,128,68
campi,24,15
contriv,37,11
spend,127,61
wander,31,17
along,153,214
island,69,45
sudden,25,14
itch,2,1
madli,4,5
walk,171,111
forest,26,15
pour,13,11
feet,21,26
reliv,3,3
kill,440,274
scifi,9,1
channel,75,37
hotti,3,7
live,351,586
silver,18,15
otherwis,97,55
biggest,63,55
slasher,76,47
baught,1,0
urg,15,17
stink,33,4
killer,213,117
motiv,57,40
possibl,220,177
maker,97,45
garbag,77,14
creat,138,196
tini,17,32
tension,64,81
carpent,23,27
guess,208,105
easier,11,15
kindr,1,2
wich,2,0
soul,43,53
survivor,20,21
crap,171,34
eliza,2,1
dushku,4,0
junk,31,11
debut,19,44
daphn,4,2
zuniga,4,0
melros,1,1
min,19,9
directli,24,21
nobodi,53,30
afterward,21,15
deserv,111,152
term,57,64
uninterest,45,10
quick,36,36
pain,147,102
death,216,211
charactersmi,1,0
humbl,12,9
intrigu,46,73
synopsi,21,3
gay,94,49
necessarili,23,26
constru,1,3
sign,64,34
purchas,18,35
arthur,33,54
connect,67,68
concern,63,76
blatant,15,5
observ,15,41
lightli,5,4
collector,9,10
state,112,132
author,37,55
hesit,6,14
sat,44,14
period,73,108
collect,53,71
boast,8,9
comfort,17,46
pleasant,17,22
aime,2,1
jaguar,1,0
urbania,1,0
normal,71,84
accident,23,24
box,92,89
conflict,40,62
lover,60,88
plung,4,2
sight,46,42
unseen,7,13
previous,18,25
vision,34,45
sugar,5,5
plum,1,1
view,164,290
wrong,238,151
plenti,50,79
sympathet,17,32
church,35,52
expel,2,2
member,86,93
priest,34,9
mob,17,20
save,225,117
write,266,163
logic,50,43
accept,77,109
activist,3,1
wing,27,16
side,117,180
difficult,80,78
anybodi,36,16
nelli,2,1
stereotyp,89,36
boot,19,21
neither,79,28
sexi,43,50
forev,25,47
distributor,5,6
advantag,12,23
sugarplam,1,0
distinct,20,19
insipid,13,1
awar,29,47
embarrass,95,20
queer,3,2
intend,57,47
warn,98,49
soon,106,138
price,33,48
highway,9,5
robberi,16,6
cheat,35,20
drivel,23,2
user,17,13
numer,35,20
websit,14,15
writer,199,180
ed,35,30
wood,74,53
wannab,20,6
sad,95,128
desper,75,57
wish,126,142
assign,11,19
zero,52,20
minu,10,2
anyon,295,249
rubbish,49,11
children,143,175
nude,20,26
cinemat,31,42
encount,38,50
dire,17,3
perv,1,0
woke,5,7
art,137,171
stick,109,44
countrysid,11,17
explan,50,16
rn,1,0
tick,9,10
spoiler,109,73
proper,29,16
unremark,6,2
unmemor,4,0
english,72,119
overli,32,26
malign,4,5
build,96,120
betray,21,21
richard,76,122
burton,14,10
sleepwalk,10,6
sophia,2,6
loren,3,8
display,44,61
passion,25,75
simon,9,46
pegg,0,9
rude,10,6
crude,13,19
control,65,67
journalist,18,21
brought,52,105
magazin,12,21
win,94,143
complic,17,35
comedi,306,421
co,74,65
kristen,0,3
dunst,1,6
grown,17,29
danni,14,55
huston,8,7
jeff,20,60
bridg,14,27
primarili,11,16
behavior,27,42
frequent,29,34
screw,24,16
cap,9,8
couch,12,5
witti,18,46
cynic,17,30
softwar,5,2
engin,24,15
reli,29,27
heavili,17,23
narrat,42,47
downbeat,5,5
petit,2,10
bourgeoi,2,3
philosoph,15,13
blackli,0,1
humor,123,195
describ,74,75
intellectu,27,27
charl,24,65
bukowski,0,1
disrespect,9,5
cb,8,8
mordantli,0,1
bleak,9,21
analysi,13,9
achiev,40,82
recognis,7,7
rare,48,100
equal,51,79
eva,9,23
hedi,0,7
lamarr,1,3
older,57,75
honeymoon,2,4
realiz,108,144
husband,119,109
farm,17,6
leav,247,222
afternoon,11,21
bath,19,17
lake,23,22
hors,42,51
worker,24,45
retriev,6,12
fortun,33,30
affair,46,45
tragic,23,38
extas,0,1
remark,31,82
rel,27,37
horribl,231,44
vh,22,39
brazil,6,20
brazilian,4,7
network,32,16
reel,15,13
damag,25,23
therefor,49,34
imag,71,91
chanc,102,142
rental,26,19
sale,14,12
practic,58,35
silent,36,64
consequ,19,26
develop,149,174
dare,25,23
fat,38,21
poetic,6,24
metaphor,7,11
flower,9,15
symbol,17,45
intercours,6,3
non,100,67
conclus,62,45
restor,9,24
vote,37,36
eight,17,27
xtase,0,1
ecstasi,1,12
allegedli,8,2
joke,251,113
respons,53,58
commit,42,54
jeroen,5,5
krabb,5,6
gerard,4,16
depardieu,5,9
mask,52,40
musket,1,1
offic,100,116
poison,22,22
econom,9,11
